time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.920,113.319,147.819,66.307,81.622,1079.824,1066.266,1162.29,1094.755,1089.745,1027.418,1070.043,1005.291,1064.739,1001.41,1068.414,1011.0,1122.109,1110.383,1094.043,1131.503,1191.492,1231.329,1207.963,1257.774,1174.33,1186.714,420.647,428.745,474.401,499.12,521.889,515.486,537.841,516.795,522.312,507.875,517.975,506.964,610.636,610.403,736.134,737.955,806.74,850.458,797.717,871.673,858.012,885.084
0.960,86.535,156.589,64.696,74.488,1082.821,1063.312,1167.548,1091.493,1094.691,1022.739,1074.533,1001.188,1068.943,997.981,1072.78,1007.165,1118.278,1110.967,1034.432,1152.839,1146.831,1250.282,1170.364,1275.099,1132.67,1213.973,419.673,428.177,468.334,499.007,519.019,506.457,533.26,503.772,518.652,493.536,514.832,494.053,609.785,609.57,720.06,736.042,795.254,845.297,796.479,859.54,858.144,886.14
1.000,95.097,163.843,66.373,67.623,1084.333,1057.699,1169.316,1079.676,1097.779,1017.224,1079.051,997.662,1073.573,995.055,1077.316,1003.293,1114.341,1111.335,1025.775,1171.192,1121.635,1267.228,1147.835,1295.655,1086.51,1242.268,417.169,427.98,463.659,501.882,518.932,495.521,530.627,492.356,516.214,481.901,512.713,482.529,606.746,605.767,711.321,728.447,808.389,834.488,818.175,844.199,867.162,885.364
1.040,111.284,168.447,64.709,64.643,1085.006,1053.493,1169.964,1071.305,1097.785,1011.622,1080.9,994.056,1074.532,992.329,1077.755,999.882,1109.419,1111.221,1025.469,1182.638,1093.046,1279.324,1120.216,1310.69,1044.437,1268.913,414.886,429.558,461.457,501.307,513.858,489.256,529.723,486.447,516.062,477.313,512.025,477.93,602.965,602.33,708.531,718.849,824.531,822.321,840.675,831.075,874.942,884.113
1.080,127.395,167.308,65.571,61.299,1085.485,1053.576,1169.536,1075.945,1100.956,1014.191,1083.11,996.924,1077.016,995.249,1080.763,1002.538,1104.799,1111.117,1026.059,1185.652,1065.662,1289.113,1085.392,1316.316,1006.805,1289.231,413.216,429.848,459.453,499.943,510.675,487.937,528.06,485.617,514.827,476.484,510.214,477.242,599.7,599.652,709.164,711.25,839.699,809.667,861.995,812.08,876.089,876.961
1.120,141.823,160.099,64.657,59.722,1084.531,1054.748,1168.041,1080.699,1098.637,1018.249,1079.362,999.866,1074.909,997.706,1079.409,1005.835,1102.221,1111.134,1027.926,1186.245,1038.97,1304.145,1052.101,1332.357,971.144,1311.607,413.437,429.3,461.333,500.977,509.608,489.544,526.434,488.034,510.958,478.899,506.462,479.541,599.824,599.77,710.775,709.804,855.301,794.775,881.034,792.636,869.266,863.222
1.160,155.362,151.164,64.048,58.621,1083.956,1054.888,1166.873,1085.483,1098.062,1024.298,1077.218,1005.567,1073.682,1002.783,1079.013,1011.304,1102.834,1110.129,1034.293,1183.096,1019.104,1311.362,1025.201,1338.199,947.398,1332.679,415.249,429.076,462.534,497.622,509.566,489.756,525.875,488.16,510.807,480.358,506.292,482.315,600.114,600.037,716.527,711.394,864.767,779.392,895.523,773.531,864.039,845.217
1.200,164.328,139.533,62.942,62.461,1083.401,1055.288,1165.229,1084.392,1096.046,1022.093,1075.687,1001.945,1072.031,1000.333,1077.152,1008.301,1102.959,1108.403,1038.732,1176.88,1008.933,1313.949,1012.87,1338.276,937.198,1346.021,418.497,430.329,468.953,503.732,510.99,497.281,526.752,499.296,510.931,491.778,506.57,491.123,602.753,602.687,726.424,714.811,869.4,759.663,901.641,748.909,861.797,822.928
1.240,167.254,128.808,59.413,71.639,1082.228,1056.095,1164.448,1082.609,1095.182,1015.504,1073.83,999.266,1071.911,997.299,1076.645,1004.462,1103.45,1106.496,1041.132,1171.746,1007.425,1310.633,1011.166,1333.67,936.773,1350.206,428.328,437.064,482.813,508.735,516.419,511.008,531.753,514.876,514.558,506.48,509.8,504.991,607.61,607.439,733.909,722.853,874.128,745.661,905.898,731.481,863.644,804.358
1.280,163.602,118.077,60.802,76.122,1081.86,1055.671,1162.171,1084.452,1089.812,1018.271,1069.377,1001.986,1067.228,1000.069,1070.693,1007.502,1102.58,1104.671,1041.933,1169.473,1019.167,1299.205,1024.685,1319.489,950.372,1343.624,435.912,445.331,494.948,514.868,527.897,524.884,540.721,531.052,523.687,521.495,519.004,518.649,616.637,616.407,741.642,736.495,877.938,735.872,908.072,715.166,875.684,784.556
