time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
1.200,61.45,149.584,109.931,143.599,850.688,921.072,797.938,945.298,834.612,998.699,840.616,1008.803,846.928,1010.43,845.804,1006.479,846.477,862.647,941.384,838.077,771.281,736.735,759.793,710.819,770.215,786.741,8.351,7.524,82.863,69.599,135.683,103.331,148.645,107.911,145.778,101.027,141.246,99.277,194.547,192.503,299.481,334.431,340.563,454.195,333.955,470.686,390.439,505.781
1.240,71.156,161.98,98.289,166.348,850.147,924.653,788.58,953.082,830.27,995.251,837.952,1004.888,843.506,1003.98,841.85,999.231,852.559,861.116,962.102,792.134,844.114,686.031,813.892,658.636,845.891,714.832,4.887,3.321,55.977,37.618,124.284,69.042,143.382,72.449,144.706,69.943,138.753,69.606,187.447,186.746,270.942,324.997,350.051,432.826,349.356,442.924,420.417,490.862
1.280,102.424,167.347,86.516,158.84,850.623,929.635,782.51,966.356,819.111,986.606,825.008,995.301,831.846,993.439,831.177,987.712,861.149,860.543,961.816,774.122,894.101,658.57,868.125,633.478,930.213,648.194,3.0,0.379,32.574,21.606,104.552,46.783,120.92,51.041,121.609,50.751,116.218,49.893,176.737,183.716,267.135,301.957,386.824,403.059,405.28,404.49,444.124,479.791
1.320,132.134,143.742,96.956,142.49,848.153,926.433,786.636,943.542,821.179,963.582,829.196,970.909,835.416,960.956,834.386,952.454,865.177,863.998,951.538,789.084,929.304,641.295,913.635,612.301,989.481,612.309,-6.893,-1.801,35.315,26.701,101.675,34.602,117.123,33.628,117.133,30.191,112.8,28.941,166.176,174.654,273.411,292.963,413.475,350.88,439.806,336.638,448.583,423.773
1.360,146.914,122.092,102.229,172.748,845.083,935.836,789.904,952.505,825.662,968.802,833.068,979.75,838.819,973.059,837.056,965.287,863.492,870.781,942.178,797.852,937.665,652.937,924.994,625.782,1003.789,608.959,-6.763,-3.54,44.231,24.805,104.903,45.883,122.782,53.452,122.833,50.465,118.238,45.871,151.908,156.467,280.744,296.554,435.372,308.19,464.489,286.341,451.78,372.431
1.400,162.82,92.0,106.205,124.389,845.088,930.517,792.197,930.223,834.162,968.634,841.435,976.232,847.228,972.577,845.743,964.559,859.91,871.23,909.06,848.048,912.603,671.327,899.778,661.692,971.265,638.044,-2.212,-5.898,69.19,29.29,124.346,56.055,137.274,60.948,135.31,52.984,130.912,48.582,156.011,158.778,302.364,307.916,449.062,286.733,477.105,262.65,475.193,333.699
1.440,151.606,70.966,152.55,159.345,854.595,909.972,876.447,893.171,908.389,901.874,914.722,913.082,918.835,903.596,917.342,911.734,856.69,870.18,893.089,885.758,863.928,746.152,846.977,732.773,935.28,677.799,28.522,51.451,101.416,138.609,134.335,189.288,142.628,205.499,143.75,208.241,142.151,201.366,190.412,197.333,318.73,316.409,449.647,287.8,477.009,259.833,486.702,319.96
1.480,157.922,49.22,113.555,113.08,855.299,885.186,871.815,879.076,913.771,917.677,923.111,929.937,931.419,928.537,924.727,928.803,841.305,850.507,837.834,929.769,781.418,791.387,763.469,767.778,832.28,756.814,46.587,35.912,127.14,115.109,136.034,135.196,143.341,146.073,140.762,145.085,139.355,140.862,200.397,194.73,327.382,300.348,456.241,290.931,477.076,272.304,500.202,347.742
1.520,113.503,94.794,125.386,123.268,857.397,861.575,896.611,864.213,929.048,911.018,942.567,923.315,944.939,926.798,938.144,922.535,837.236,841.562,868.989,889.537,736.665,768.892,738.994,740.555,759.317,772.204,69.681,48.479,107.418,103.696,101.28,131.303,99.243,144.375,97.978,144.637,96.332,136.343,197.742,190.498,325.144,284.619,426.672,359.432,418.685,369.084,483.061,429.047
1.560,77.304,174.376,111.574,87.422,895.708,857.696,922.38,851.851,959.106,899.074,970.297,903.147,968.812,903.991,963.978,903.571,863.394,828.539,971.56,757.922,849.377,664.222,820.419,639.377,872.368,692.747,51.691,39.732,73.478,98.471,52.967,101.032,48.099,110.42,41.683,109.089,43.181,103.375,179.286,189.979,257.353,290.192,365.392,398.764,371.717,410.892,430.553,460.116
1.600,101.119,170.856,74.458,108.601,900.19,863.802,913.492,855.88,952.675,896.903,967.233,893.928,966.484,897.398,958.628,898.322,871.764,824.519,978.378,740.173,911.786,632.688,887.959,606.187,963.157,627.114,-28.904,-33.755,55.02,62.526,37.123,80.197,32.516,91.488,22.08,90.681,23.605,85.434,163.976,176.03,248.318,282.025,377.738,379.983,393.138,384.345,431.414,442.896
1.640,130.465,147.78,94.577,124.851,890.357,863.342,891.456,841.318,931.107,887.02,952.125,893.629,944.164,898.731,936.756,895.565,860.859,829.064,959.613,750.298,944.511,605.501,927.242,576.251,1014.778,571.762,-17.006,-59.915,59.461,17.18,62.063,73.203,63.745,85.92,48.77,84.371,30.525,80.998,155.763,160.704,259.826,281.863,402.703,348.62,433.249,335.2,437.247,425.501
